question_id,task,expected_answer,actual_answer,score
Data-transform-reshape__ffill_test5,Data-transform-reshape,"[{""operator"": ""ffill"", ""ffill_end_idx"": 0}]","[{""stack_start_idx"": 2, ""stack_end_idx"": 3, ""operator"": ""stack""}]",0.0
Data-transform-reshape__multistep_test20,Data-transform-reshape,"[{""operator"": ""transpose""}, {""operator"": ""stack"", ""stack_start_idx"": 1, ""stack_end_idx"": 3}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 5, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__stack_test27,Data-transform-reshape,"[{""operator"": ""stack"", ""stack_start_idx"": 1, ""stack_end_idx"": 12}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 13, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__ffill_test11,Data-transform-reshape,"[{""operator"": ""ffill"", ""ffill_end_idx"": 0}]","[{""ffill_end_idx"": 1, ""operator"": ""ffill""}, {""stack_start_idx"": 1, ""stack_end_idx"": 1, ""operator"": ""stack""}]",0.0
Data-transform-reshape__explode_test8,Data-transform-reshape,"[{""operator"": ""explode"", ""explode_column_idx"": 6}]","[{""ffill_end_idx"": 3, ""operator"": ""ffill""}, {""stack_start_idx"": 4, ""stack_end_idx"": 6, ""operator"": ""stack""}]",0.0
Data-transform-reshape__stack_test48,Data-transform-reshape,"[{""operator"": ""stack"", ""stack_start_idx"": 1, ""stack_end_idx"": 6}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 6, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__explode_test46,Data-transform-reshape,"[{""operator"": ""explode"", ""explode_column_idx"": 2}]","[{""wide_to_long_start_idx"": 2, ""wide_to_long_end_idx"": 49, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__stack_test37,Data-transform-reshape,"[{""operator"": ""stack"", ""stack_start_idx"": 4, ""stack_end_idx"": 6}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 6, ""operator"": ""wide_to_long""}]",0.0
Data-transform-reshape__stack_test25,Data-transform-reshape,"[{""operator"": ""stack"", ""stack_start_idx"": 1, ""stack_end_idx"": 5}]","[{""stack_start_idx"": 1, ""stack_end_idx"": 6, ""operator"": ""stack""}]",0.0
Data-transform-reshape__pivot_test4,Data-transform-reshape,"[{""operator"": ""pivot"", ""pivot_row_frequency"": 4}]","[{""stack_start_idx"": 1, ""stack_end_idx"": 3, ""operator"": ""subtitle""}]",0.0
Data-transform-reshape__explode_test16,Data-transform-reshape,"[{""operator"": ""explode"", ""explode_column_idx"": 1}]","[{""explode_column_idx"": 1, ""operator"": ""explode""}]",1.0
Data-transform-reshape__subtitle_test11,Data-transform-reshape,"[{""operator"": ""subtitle""}]","[{""wide_to_long_start_idx"": 1, ""wide_to_long_end_idx"": 11, ""operator"": ""wide_to_long""}]",0.0
Formula-prediction-context__case-464,Formula-prediction-context,=AVERAGE(C10:C406),=B8-B10,0.0
Formula-prediction-context__case-433,Formula-prediction-context,"=K55+ROUND(10*LOG10(F55),0)",=MAX(O55:R55),0.0
Formula-prediction-context__case-751,Formula-prediction-context,=H54,=2.7508,0.0
Formula-prediction-context__case-166,Formula-prediction-context,=Z8969,=BN8969,0.0
Formula-prediction-context__case-529,Formula-prediction-context,=CLMIN,=MIN(D48:D50),0.0
Formula-prediction-context__case-417,Formula-prediction-context,"=""EFFECTIVE ""&TEXT(DATE(YEAR(B8),MONTH(B8),DAY(B8)),""mmmm"")&"" ""&DAY(B8)&"" - ""&DAY(EOMONTH(B8,0))&"", ""&YEAR(B8)&""""",=B13,0.0
Formula-prediction-context__case-810,Formula-prediction-context,=SUM(K8:K31),=E32+D32*C32,0.0
Formula-prediction-context__case-920,Formula-prediction-context,"=CEILING(C21/CLOCK_PERIOD,1)-1",=B21*F18/F17,0.0
Formula-prediction-context__case-879,Formula-prediction-context,=A4/A2,=B8-A7,0.0
Formula-prediction-context__case-663,Formula-prediction-context,"=ROUND(((($C17+F17)*E17)/10000),4)+$D17",=B17*F17,0.0
Formula-prediction-context__case-696,Formula-prediction-context,=A3+0.01,=B4-A4,0.0
Formula-prediction-context__case-883,Formula-prediction-context,=10*LOG(10^(AFR8/10)+10^(AFS8/10)),=B8+B9+B10+B11+B12+B13+B14+B15+B16+B17+B18,0.0
Formula-prediction-context__case-221,Formula-prediction-context,=K32-L32,"{""formula"": ""=SUMIFS(W22:W42,V22:V42,""4.0"",U22:U42,""25 Total"")""}",0.0
Formula-prediction-context__case-365,Formula-prediction-context,"=IF($A10 = """","""",_xlfn.IFNA(VLOOKUP($O10,erate,4,FALSE),_xlfn.IFNA(VLOOKUP($O10,nonerate,4,FALSE),""NOT FOUND"")))","{""formula"": ""=IF(C10=""Not Found"", ""Not Found"", D10-B10)""}",0.0
Formula-prediction-context__case-93,Formula-prediction-context,=F337,=B338,0.0
Formula-prediction-context__case-330,Formula-prediction-context,=DEC2HEX(E39),=B39,0.0
Formula-prediction-context__case-103,Formula-prediction-context,"=IF(YEAR($B$8)<2015,$I$23,$I$24)",=1.6275,0.0
Formula-prediction-context__case-544,Formula-prediction-context,=AV10*-J56,=0.0,0.0
Formula-prediction-context__case-435,Formula-prediction-context,"=""EFFECTIVE ""&TEXT(DATE(YEAR(B8),MONTH(B8),DAY(B8)),""mmmm"")&"" ""&DAY(B8)&"" - ""&DAY(EOMONTH(B8,0))&"", ""&YEAR(B8)&""""",=D13,0.0
Formula-prediction-context__case-543,Formula-prediction-context,"=IF($A10 = """","""",_xlfn.IFNA(VLOOKUP($O10,erate,7,FALSE),_xlfn.IFNA(VLOOKUP($O10,nonerate,7,FALSE),""NOT FOUND"")))","{""formula"": ""=IF(C10=""[Target Cell]"", """", IF(D10-E10=0, ""Green"", ""Red""))""}",0.0
Formula-prediction-context__case-135,Formula-prediction-context,"=IF(C17="""",0,ROUND(D17,2)*H17)",=SUM(F18:F27),0.0
Formula-prediction-context__case-875,Formula-prediction-context,"=K15+ROUND(10*LOG10(F15),0)",=17,0.0
Formula-prediction-context__case-797,Formula-prediction-context,=K31/(1-J37)-K31,=0.8937+0.012,0.0
Formula-prediction-context__case-347,Formula-prediction-context,"=IF(SUM(K62)=0,0,ROUND((($K$23*K52)*$K$45/10^6)+($K$48*K52),6))",0.078362,0.0
Formula-prediction-context__case-85,Formula-prediction-context,=((D26*E26)/(B26*C26))*100,=I27*J27/I26,0.0
Functional-Dependency__case_264,Functional-Dependency,"[[""Line_Group"", ""Line""], [""Line_Group"", ""Group""]]","[[""Line_Group"", ""Group""], [""Line_Group"", ""Line""]]",1.0
Functional-Dependency__case_57,Functional-Dependency,"[[""TerritoryKey"", ""SalesTerritoryKey""], [""TerritoryKey"", ""Region""], [""TerritoryKey"", ""Country""], [""TerritoryKey"", ""Continent""]]",[],0.0
Functional-Dependency__case_111,Functional-Dependency,"[[""SalesTaxTypeID"", ""SalesTaxType""], [""SalesTaxTypeID"", ""Description""]]","[[""SalesTaxTypeID"", ""SalesTaxType""]]",0.6666666666666666
Functional-Dependency__case_136,Functional-Dependency,"[[""Brand"", ""x1""], [""Brand"", ""x2""], [""Brand"", ""x3""]]","[[""Brand"", ""x1""], [""Brand"", ""x2""], [""Brand"", ""x3""]]",1.0
Functional-Dependency__case_90,Functional-Dependency,"[[""Customer ID"", ""Customer Name""]]","[[""Customer ID"", ""Customer Name""]]",1.0
Functional-Dependency__case_251,Functional-Dependency,"[[""ProductId"", ""Product Name""], [""ProductId"", ""Category""]]","[[""ProductId"", ""Category""], [""ProductId"", ""Product Name""]]",1.0
Functional-Dependency__case_118,Functional-Dependency,"[[""PlayerID"", ""Player""], [""PlayerID"", ""Position""], [""PlayerID"", ""Age""], [""PlayerID"", ""MarketValue""]]","[[""Player"", ""PlayerID""]]",0.0
Functional-Dependency__case_252,Functional-Dependency,"[[""Financial Statement Breakdown"", ""Financial Statement List""], [""Financial Statement Breakdown"", ""Category""], [""Financial Statement Breakdown"", ""Main Category""]]","[[""Financial Statement Breakdown"", ""Category""], [""Financial Statement Breakdown"", ""Financial Statement List""], [""Financial Statement Breakdown"", ""Main Category""]]",1.0
Functional-Dependency__case_249,Functional-Dependency,"[[""Customer ID"", ""Customer Name""], [""Customer ID"", ""Profit Groups""], [""Customer ID"", ""Average Sales""], [""Customer ID"", ""Sales Grouping""]]","[[""Customer ID"", ""Average Sales""], [""Customer ID"", ""Customer Name""], [""Customer ID"", ""Profit Groups""]]",0.8571428571428571
Functional-Dependency__case_255,Functional-Dependency,"[[""EMP ID"", ""EMP Name""], [""EMP ID"", ""Supervisor""]]","[[""EMP ID"", ""EMP Name""], [""EMP ID"", ""Supervisor""]]",1.0
Functional-Dependency__case_69,Functional-Dependency,"[[""CloudNames.CloudName"", ""Id""], [""CloudNames.CloudName"", ""CloudName""], [""CloudNames.CloudName"", ""ID.1""]]",[],0.0
Functional-Dependency__case_211,Functional-Dependency,"[[""location"", ""population""], [""location"", ""HighestInfectionCount""], [""location"", ""PercentagePopulationInfected""]]","[[""location"", ""HighestInfectionCount""], [""location"", ""PercentagePopulationInfected""], [""location"", ""population""]]",1.0
Functional-Dependency__case_218,Functional-Dependency,"[[""CityID"", ""City""], [""CityID"", ""County""], [""CityID"", ""Region""], [""CityID"", ""Country""]]",[],0.0
Functional-Dependency__case_372,Functional-Dependency,"[[""ProductID"", ""Name""], [""ProductID"", ""ProductNumber""], [""ProductID"", ""Color""]]",[],0.0
Functional-Dependency__case_207,Functional-Dependency,"[[""AccountKey"", ""AccountCodeAlternateKey""], [""AccountKey"", ""AccountDescription""], [""AccountKey"", ""AccountType""], [""AccountKey"", ""Operator""], [""AccountKey"", ""ValueType""]]","[[""AccountKey"", ""AccountCodeAlternateKey""]]",0.33333333333333337
Functional-Dependency__case_192,Functional-Dependency,"[[""customer"", ""CUSTOMER-id""], [""customer"", ""CUSTOMER-NAME""]]",[],0.0
Functional-Dependency__case_104,Functional-Dependency,"[[""Countries"", ""Country""], [""Countries"", ""Image""]]","[[""Countries"", ""Image""], [""Event Date"", ""Event Description""], [""Event Description"", ""Event year""]]",0.4
Functional-Dependency__case_302,Functional-Dependency,"[[""UserKey"", ""UserEmail""], [""UserKey"", ""LastModifiedDate""]]","[[""UserKey"", ""LastModifiedDate""], [""UserKey"", ""UserEmail""]]",1.0
Functional-Dependency__case_159,Functional-Dependency,"[[""campaign_id"", ""campaign_type""], [""campaign_id"", ""start_date""], [""campaign_id"", ""end_date""], [""campaign_id"", ""Intervel""]]","[[""campaign_id"", ""Intervel""], [""campaign_id"", ""campaign_type""], [""campaign_id"", ""end_date""], [""campaign_id"", ""start_date""], [""coupon_id"", ""Redemption_status""], [""coupon_id"", ""campaign_type""], [""customer_id"", ""Intervel""], [""customer_id"", ""Redemption_status""]]",0.6666666666666666
Functional-Dependency__case_148,Functional-Dependency,"[[""CostElement"", ""Cost Element""], [""CostElement"", ""Cost Element Group""], [""CostElement"", ""Business Area""]]","[[""CostElement"", ""Cost Element Group""]]",0.5
Functional-Dependency__case_327,Functional-Dependency,"[[""associate_id"", ""Associate ID""], [""associate_id"", ""SF Contact""], [""associate_id"", ""Associates""], [""associate_id"", ""Team""]]","[[""associate_id"", ""Associate ID""], [""associate_id"", ""Associates""], [""associate_id"", ""SF Assignment_V.Credited Utilization""], [""associate_id"", ""SF Contact""], [""associate_id"", ""Team""]]",0.888888888888889
Functional-Dependency__case_301,Functional-Dependency,"[[""movie_title"", ""release_date""], [""movie_title"", ""hero""], [""movie_title"", ""villian""], [""movie_title"", ""song""]]","[[""movie_title"", ""FilmAge""], [""movie_title"", ""MPAA_rating""], [""movie_title"", ""genre""], [""movie_title"", ""gross_with_inflation""], [""movie_title"", ""hero""], [""movie_title"", ""release_date""], [""movie_title"", ""song""], [""movie_title"", ""villian""]]",0.6666666666666666
Functional-Dependency__case_208,Functional-Dependency,"[[""BusinessUnitID"", ""BusinessUnit""], [""BusinessUnitID"", ""Division""], [""BusinessUnitID"", ""Group""]]","[[""BusinessUnitID"", ""BusinessUnit""]]",0.5
Functional-Dependency__case_105,Functional-Dependency,"[[""stage_id"", ""Stage Name""], [""stage_id"", ""Sorted Stage""]]",[],0.0
Functional-Dependency__case_67,Functional-Dependency,"[[""customer_code"", ""custmer_name""], [""customer_code"", ""customer_type""]]","[[""customer_code"", ""currency""], [""customer_code"", ""customer_type""], [""market_code"", ""currency""], [""product_code"", ""currency""]]",0.3333333333333333
String-Relationship__case_7867,String-Relationship,"[[[""G"", ""H""], ""C""]]",[],0.0
String-Relationship__case_6407,String-Relationship,"[[[""C"", ""D"", ""E"", ""F""], ""K""]]","[[[""Foreign_1""], ""Foreign_26""], [[""Foreign_1""], ""Foreign_27""], [[""Foreign_1""], ""Foreign_28""], [[""Foreign_1""], ""Foreign_29""], [[""Foreign_11""], ""Foreign_23""], [[""Foreign_12""], ""Foreign_25""], [[""Foreign_14""], ""Foreign_17""], [[""Foreign_15""], ""Foreign_18""], [[""Foreign_16""], ""Foreign_19""], [[""Foreign_17""], ""Foreign_20""], [[""Foreign_18""], ""Foreign_21""], [[""Foreign_19""], ""Foreign_22""], [[""Foreign_23""], ""Foreign_24""], [[""Foreign_24""], ""Foreign_25""], [[""Foreign_25""], ""Foreign_26""], [[""Foreign_26""], ""Foreign_27""], [[""Foreign_27""], ""Foreign_28""], [[""Foreign_28""], ""Foreign_29""]]",0.0
String-Relationship__case_8004,String-Relationship,"[[[""C"", ""D"", ""E"", ""F""], ""K""]]","[[[""Foreign_13"", ""Foreign_14""], ""Foreign_26""], [[""Foreign_13"", ""Foreign_14""], ""Foreign_27""], [[""Foreign_13"", ""Foreign_14""], ""Foreign_29""], [[""Foreign_18"", ""Foreign_19""], ""Foreign_21""], [[""Foreign_18"", ""Foreign_19""], ""Foreign_22""], [[""Foreign_18"", ""Foreign_19""], ""Foreign_23""], [[""Foreign_18"", ""Foreign_19""], ""Foreign_24""], [[""Foreign_18"", ""Foreign_19""], ""Foreign_25""]]",0.0
String-Relationship__case_8802,String-Relationship,"[[[""B"", ""D""], ""E""]]","[[[""Foreign_10""], ""Foreign_11""], [[""Foreign_13""], ""Foreign_14""], [[""Foreign_16""], ""Foreign_17""], [[""Foreign_19""], ""Foreign_20""], [[""Foreign_23""], ""Foreign_24""], [[""Foreign_26""], ""Foreign_27""], [[""Foreign_29""], ""Foreign_30""], [[""Foreign_3""], ""Foreign_4""], [[""Foreign_32""], ""Foreign_33""], [[""Foreign_35""], ""Foreign_36""], [[""Foreign_38""], ""Foreign_39""], [[""Foreign_40""], ""Foreign_41""], [[""Foreign_43""], ""Foreign_44""], [[""Foreign_46""], ""Foreign_47""], [[""Foreign_49""], ""Foreign_50""], [[""Foreign_5""], ""Foreign_6""], [[""Foreign_52""], ""Foreign_53""], [[""Foreign_55""], ""Foreign_56""], [[""Foreign_58""], ""Foreign_59""], [[""Foreign_60""], ""Foreign_61""], [[""Foreign_63""], ""Foreign_64""], [[""Foreign_66""], ""Foreign_67""], [[""Foreign_69""], ""Foreign_70""], [[""Foreign_7""], ""Foreign_8""], [[""Foreign_72""], ""Foreign_73""], [[""Foreign_75""], ""Foreign_76""], [[""Foreign_78""], ""Foreign_79""], [[""Foreign_81""], ""Foreign_82""], [[""Foreign_84""], ""Foreign_85""], [[""Foreign_87""], ""Foreign_88""], [[""Foreign_90""], ""Foreign_91""], [[""Foreign_93""], ""Foreign_94""], [[""Foreign_96""], ""Foreign_97""], [[""Foreign_99""], ""Foreign_100""]]",0.0
semantic-transform__CountryToThreeLettersISOCode,semantic-transform,"[""AFG"", ""ALB"", ""DZA"", ""ASM"", ""AND"", ""AGO"", ""ATA"", ""ATG"", ""ARG"", ""ARM""]","[""AFG"", ""ALB"", ""DZA"", ""ASM"", ""AND"", ""AGO"", ""ATA"", ""ATG"", ""ARG"", ""ARM""]",1.0
semantic-transform__Driver2Champioships,semantic-transform,"[1994, 1951, 1985, 2010, 1959, 1969, 1975, 1981, 1988, 1952]","[1995, 1956, 1989, 2010, 1960, 1968, 1978, 1979, 1988, 1954]",0.2
semantic-transform__Case26,semantic-transform,"[""KATL"", ""KORD"", ""EGLL"", ""RJTT"", ""LFPG"", ""KLAX"", ""KDFW"", ""ZBAA"", ""EDDF"", ""KDEN""]","[""KATL"", ""KORD"", ""EGKK"", ""RJAA"", ""LFPG"", ""KLAX"", ""KDFW"", ""ZBAA"", ""EDDF"", ""KDEN""]",0.8
semantic-transform__bankToCountryDistinct,semantic-transform,"[""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN""]","[""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""PAKISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN"", ""AFGHANISTAN""]",0.9
semantic-transform__SymbolToCompanyName,semantic-transform,"[""International Business Machines"", ""Bank of America Corporation"", ""General Electric Company"", ""Comcast Corporation"", ""SAP AG O.N.""]","[""International Business Machines Corporation"", ""Bank of America Corporation"", ""General Electric Company"", ""Comcast Corporation"", ""SAP SE""]",0.6
semantic-transform__TeamToManager,semantic-transform,"[""Danny Ainge"", ""Mitch Kupchak"", ""Chris Wallace"", ""Daryl Morey"", ""Gar Forman"", ""Joe Dumars""]","[""Red Auerbach"", ""Jerry West"", ""Chris Wallace"", ""Carly Fiorina"", ""Jerry Colangelo"", ""Tom Gores""]",0.16666666666666666
semantic-transform__GregorianToHijri,semantic-transform,"[""08/13/1436"", ""02/18/1437"", ""02/25/1437"", ""10/22/1436"", ""12/23/1432""]","[""10/02/1436"", ""15/02/1437"", ""22/02/1437"", ""10/01/1436"", ""22/04/1432""]",0.0
semantic-transform__shoesizeUSEUR,semantic-transform,"[38.7, 39.3, 40.0, 40.5, 42.0, 42.5, 43.0, 44.5, 46.0, 47.0]","[39, 40, 41, 42, 43, 44.5, 46, 47, 48, 49]",0.0
semantic-transform__CountryToCurrencies,semantic-transform,"[""Afghan afghani"", ""Euro"", ""Albanian lek"", ""Algerian dinar"", ""Euro"", ""Angolan kwanza"", ""East Caribbean dollar"", ""East Caribbean dollar"", ""Argentine peso"", ""Armenian dram""]","[""Afghan afghani"", ""Euro"", ""Albanian lek"", ""Algerian dinar"", ""Euro"", ""Dobra"", ""East Caribbean dollar"", ""East Caribbean dollar"", ""Argentine peso"", ""Dram""]",0.8
semantic-transform__Case50,semantic-transform,"[""Baylor"", ""Auburn"", ""Alabama"", ""Florida"", ""Ohio State"", ""Southern California"", ""Southern California"", ""Oklahoma"", ""Nebraska"", ""Florida State""]","[""Oklahoma"", ""North Carolina"", ""Alabama"", ""Florida"", ""Ohio State"", ""Louisiana"", ""USC"", ""Oklahoma"", ""Oklahoma"", ""Georgia""]",0.4
semantic-transform__Case34,semantic-transform,"[""Japan"", ""United States"", ""Germany"", ""South Korea"", ""United States"", ""Japan"", ""Japan"", ""France"", ""Japan"", ""France""]","[""Japan"", ""USA"", ""Germany"", ""South Korea"", ""USA"", ""Germany"", ""Japan"", ""Germany"", ""Japan"", ""France""]",0.6
semantic-transform__ISSNToTitle,semantic-transform,"[""Acta Scientiarum Animal Sciences"", ""Advances in Chemical Science"", ""Neural Networks"", ""Information Systems Journal"", ""Biomedical Journal""]","[""Computer Speech & Language"", ""Journal of Computer Science and Technology"", ""Computers & Education"", ""Journal of Systems and Software"", ""Neurocomputing""]",0.0
semantic-transform__AsciiToUnicode,semantic-transform,"[51, 67, 76, 120]","[30, 60, 70, 80]",0.0
semantic-transform__AirportcodeToCity,semantic-transform,"[""hohhot"", ""cartagena"", ""gaborone"", ""boise id"", ""kingfisher l ont. on"", ""laconia nh"", ""alexandria la"", ""alexandria la"", ""jeh"", ""malelane""]","[""hetherington"", ""ctg"", ""gbeto"", ""boisabel"", ""kifley"", ""lcimba"", ""esfahan"", ""aexela"", ""jejuel"", ""llewellyn""]",0.0
semantic-transform__RGBToColor,semantic-transform,"[""White"", ""BlueViolet"", ""LightBlue"", ""Cyan"", ""Orange""]","[""White"", ""Purple"", ""LightBlue"", ""Cyan"", ""Orange""]",0.8
semantic-transform__ISBNToTitle,semantic-transform,"[""The Cider House Rules"", ""Thinking Fast and Slow"", ""The book Thief"", ""Operating system concepts"", ""The war of the end of the world""]","[""The hobbit"", ""LabVIEW for dummies"", ""the art of computer programming"", ""racing the beam"", ""the hobbit""]",0.0
semantic-transform__BankToCity,semantic-transform,"[""MOSCOW"", ""STAMFORDCT"", ""SENDAI"", ""PARIS"", ""CHALONS EN CHAMPAGNE"", ""PARIS"", ""EL MANSOURA"", ""PARIS"", ""MINNEAPOLISMN"", ""6TH OF OCTOBER""]","[""CAIRO"", ""NEW YORK"", ""CAIRO"", ""PARIS"", ""PARIS"", ""PARIS"", ""CAIRO"", ""PARIS"", ""UNKNOWN"", ""PARIS""]",0.3
semantic-transform__Case27,semantic-transform,"[""Nintendo"", ""Nintendo"", ""Nintendo"", ""Nintendo"", ""Nintendo"", ""Capcom"", ""Nintendo"", ""Capcom""]","[""Nintendo"", ""Nintendo"", ""Nintendo"", ""Nintendo"", ""Nintendo"", ""Capcom"", ""Nintendo"", ""Capcom""]",1.0
semantic-transform__Case42,semantic-transform,"[""Rhododendron"", ""Noble orchid"", ""Water lily"", ""Tulip"", ""Blue poppy"", ""Peony"", ""Lotus"", ""Rhododendron"", ""Orchid""]","[""Blue Poppy"", ""Rhododendron"", ""Lotus"", ""National flower not defined"", ""Dragon Lily"", ""Peony"", ""Lotus"", ""Rhododendron"", ""Vanda Miss Joaquim""]",0.3333333333333333
semantic-transform__Case25,semantic-transform,"[""ATL"", ""ORD"", ""LHR"", ""HND"", ""CDG"", ""LAX"", ""DFW"", ""PEK"", ""FRA"", ""DEN""]","[""ATL"", ""ORD"", ""LHR"", ""NRT"", ""CDG"", ""LAX"", ""DFW"", ""PEK"", ""FRA"", ""DEN""]",0.9
